Rank,Player_Name,Country,Ratings
1,Virat Kohli,IND,928
2,Steve Smith,AUS,911
3,Marnus Labuschagne,AUS,827
4,Kane Williamson,NZ,814
5,David Warner,AUS,793
6,Cheteshwar Pujara,IND,791
7,Babar Azam,PAK,767
8,Joe Root,ENG,764
9,Ajinkya Rahane,IND,759
10,Ben Stokes,ENG,718
11,Quinton de Kock,SA,706
12,Mayank Agarwal,IND,700
13,Rohit Sharma,IND,688
14,Dimuth Karunaratne,SL,680
15,Tom Latham,NZ,675
16,Ross Taylor,NZ,669
17,Henry Nicholls,NZ,667
18,Angelo Mathews,SL,658
19,Asad Shafiq,PAK,655
20,BJ Watling,NZ,646
21,Travis Head,AUS,643
22,Brendan Taylor,ZIM,632
23,Kusal Mendis,SL,628
24,Dean Elgar,SA,624
25,Mushfiqur Rahim,BAN,614
26,Tamim Iqbal,BAN,613
27,Azhar Ali,PAK,610
28,Aiden Markram,SA,608
29,Rishabh Pant,IND,602
30,Francois du Plessis,SA,586
31,Usman Khawaja,AUS,584
32,Rory Burns,ENG,579
33,Niroshan Dickwella,SL,578
34,Jason Holder,WI,570
35,Dinesh Chandimal,SL,562
36,Dhananjaya de Silva,SL,561
37,Ravindra Jadeja,IND,560
38,Colin de Grandhomme,NZ,557
39,Shan Masood,PAK,553
40,Joe Denly,ENG,550
41,Hanuma Vihari,IND,548
42,Shane Dowrich,WI,544
43,Sarfaraz Ahmed,PAK,540
44,Mahmudullah,BAN,536
45,Jos Buttler,ENG,533
,Hamilton Masakadza,ZIM,533
47,Shimron Hetmyer,WI,521
48,Jonny Bairstow,ENG,516
,Tim Paine,AUS,516
,Roston Chase,WI,516
51,Lokesh Rahul,IND,514
52,Mominul Haque,BAN,509
53,Kraigg Brathwaite,WI,508
54,Oshada Fernando,SL,493
55,Ollie Pope,ENG,492
56,Joe Burns,AUS,491
57,Sikandar Raza,ZIM,490
58,Craig Ervine,ZIM,489
59,Matthew Wade,AUS,488
,Shaun Marsh,AUS,488
61,Sean Williams,ZIM,485
,Temba Bavuma,SA,485
63,Kusal Perera,SL,481
64,Shai Hope,WI,479
65,Haris Sohail,PAK,476
66,Abid Ali,PAK,473
67,Dom Sibley,ENG,471
,Murali Vijay,IND,471
69,Peter Handscomb,AUS,467
70,Shamarh Brooks,WI,466
71,Jeet Raval,NZ,465
72,Sam Curran,ENG,462
73,Darren Bravo,WI,460
74,Tom Blundell,NZ,457
75,Jermaine Blackwood,WI,431
76,Soumya Sarkar,BAN,429
,Roshen Silva,SL,429
78,Kevin O'Brien,IRE,423
79,John Campbell,WI,421
80,Litton Das,BAN,417
81,Prithvi Shaw,IND,416
82,Peter Moor,ZIM,410
83,Rahmat Shah,AFG,400
,Ravichandran Ashwin,IND,400
,Asghar Afghan,AFG,400
86,Vernon Philander,SA,399
87,Wriddhiman Saha,IND,397
88,Kieran Powell,WI,396
,Ben Foakes,ENG,396
90,Daryl Mitchell,NZ,390
91,Mitchell Santner,NZ,388
92,Keaton Jennings,ENG,386
93,Imam-ul-Haq,PAK,381
94,Moeen Ali,ENG,380
95,Rassie van der Dussen,SA,376
96,Mitchell Starc,AUS,375
,Ibrahim Zadran,AFG,375
98,Mitchell Marsh,AUS,371
99,Cameron Bancroft,AUS,368
100,Kurtis Patterson,AUS,361
